year,n,name,annio,periodo,mes,parametro
20200601,985,Comunidad Valenciana,2020,Trimestre 2,6,Sustracciones de vehículos
20200601,954,Comunidad Valenciana,2020,Trimestre 2,6,Tráfico de drogas
20200901,137,Comunidad Valenciana,2020,Trimestre 3,9,Agresión sexual con penetración
20200901,28,Comunidad Valenciana,2020,Trimestre 3,9,Homicidios dolosos y asesinatos consumados
20200901,31739,Comunidad Valenciana,2020,Trimestre 3,9,Hurtos
20200901,1098,Comunidad Valenciana,2020,Trimestre 3,9,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20200901,2732,Comunidad Valenciana,2020,Trimestre 3,9,Robos con violencia e intimidación
20200901,12,Comunidad Valenciana,2020,Trimestre 3,9,Secuestro
20200901,1749,Comunidad Valenciana,2020,Trimestre 3,9,Sustracciones de vehículos
20200901,1418,Comunidad Valenciana,2020,Trimestre 3,9,Tráfico de drogas
20201201,186,Comunidad Valenciana,2020,Trimestre 4,12,Agresión sexual con penetración
20201201,37,Comunidad Valenciana,2020,Trimestre 4,12,Homicidios dolosos y asesinatos consumados
20201201,43801,Comunidad Valenciana,2020,Trimestre 4,12,Hurtos
20201201,15187,Comunidad Valenciana,2020,Trimestre 4,12,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20201201,3772,Comunidad Valenciana,2020,Trimestre 4,12,Robos con violencia e intimidación
20201201,14,Comunidad Valenciana,2020,Trimestre 4,12,Secuestro
20201201,2377,Comunidad Valenciana,2020,Trimestre 4,12,Sustracciones de vehículos
20201201,1863,Comunidad Valenciana,2020,Trimestre 4,12,Tráfico de drogas
20210301,41,Comunidad Valenciana,2021,Trimestre 1,3,Agresión sexual con penetración
20210301,4,Comunidad Valenciana,2021,Trimestre 1,3,Homicidios dolosos y asesinatos consumados
20210301,10113,Comunidad Valenciana,2021,Trimestre 1,3,Hurtos
20210301,3611,Comunidad Valenciana,2021,Trimestre 1,3,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20210301,815,Comunidad Valenciana,2021,Trimestre 1,3,Robos con violencia e intimidación
20210301,1,Comunidad Valenciana,2021,Trimestre 1,3,Secuestro
20210301,526,Comunidad Valenciana,2021,Trimestre 1,3,Sustracciones de vehículos
20210301,430,Comunidad Valenciana,2021,Trimestre 1,3,Tráfico de drogas
20210601,93,Comunidad Valenciana,2021,Trimestre 2,6,Agresión sexual con penetración
20210601,16,Comunidad Valenciana,2021,Trimestre 2,6,Homicidios dolosos y asesinatos consumados
20210601,23868,Comunidad Valenciana,2021,Trimestre 2,6,Hurtos
20210601,7174,Comunidad Valenciana,2021,Trimestre 2,6,Robos con fuerza en domicilios, establecimientos y otras instalaciones
