year;n;name;tipo
1-Sep-20;9117;Madrid;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Sep-20;7615;Madrid;Robos con violencia e intimidación 
1-Sep-20;6;Madrid;Secuestro 
1-Sep-20;4599;Madrid;Sustracciones de vehículos 
1-Sep-20;1779;Madrid;Tráfico de drogas 
1-Dec-20;217;Madrid;Agresión sexual con penetración 
1-Dec-20;38;Madrid;Homicidios dolosos y asesinatos consumados 
1-Dec-20;92213;Madrid;Hurtos 
1-Dec-20;12262;Madrid;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Dec-20;10688;Madrid;Robos con violencia e intimidación 
1-Dec-20;10;Madrid;Secuestro 
1-Dec-20;6235;Madrid;Sustracciones de vehículos 
1-Dec-20;247;Madrid;Tráfico de drogas 
1-Mar-21;47;Madrid;Agresión sexual con penetración 
1-Mar-21;6;Madrid;Homicidios dolosos y asesinatos consumados 
1-Mar-21;24453;Madrid;Hurtos 
1-Mar-21;2923;Madrid;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Mar-21;2859;Madrid;Robos con violencia e intimidación 
1-Mar-21;5;Madrid;Secuestro 
1-Mar-21;1427;Madrid;Sustracciones de vehículos 
1-Mar-21;605;Madrid;Tráfico de drogas 
1-Jun-21;123;Madrid;Agresión sexual con penetración 
1-Jun-21;14;Madrid;Homicidios dolosos y asesinatos consumados 
1-Jun-21;5027;Madrid;Hurtos 
1-Jun-21;5798;Madrid;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Jun-21;562;Madrid;Robos con violencia e intimidación 
1-Jun-21;8;Madrid;Secuestro 
1-Jun-21;3235;Madrid;Sustracciones de vehículos 
1-Jun-21;1229;Madrid;Tráfico de drogas 
1-Sep-21;204;Madrid;Agresión sexual con penetración 
1-Sep-21;23;Madrid;Homicidios dolosos y asesinatos consumados 
1-Sep-21;75929;Madrid;Hurtos 
1-Sep-21;9208;Madrid;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Sep-21;8726;Madrid;Robos con violencia e intimidación 
1-Sep-21;12;Madrid;Secuestro 
1-Sep-21;4949;Madrid;Sustracciones de vehículos 
1-Sep-21;1851;Madrid;Tráfico de drogas 
1-Dec-21;274;Madrid;Agresión sexual con penetración 
1-Dec-21;37;Madrid;Homicidios dolosos y asesinatos consumados 
1-Dec-21;108778;Madrid;Hurtos 
1-Dec-21;12381;Madrid;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Dec-21;12153;Madrid;Robos con violencia e intimidación 
1-Dec-21;13;Madrid;Secuestro 
1-Dec-21;6922;Madrid;Sustracciones de vehículos 
1-Dec-21;2502;Madrid;Tráfico de drogas 
1-Mar-22;51;Madrid;Agresión sexual con penetración 
1-Mar-22;13;Madrid;Homicidios dolosos y asesinatos consumados 
1-Mar-22;34079;Madrid;Hurtos 
1-Mar-22;337;Madrid;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Mar-22;3097;Madrid;Robos con violencia e intimidación 
1-Mar-22;3;Madrid;Secuestro 
1-Mar-22;2028;Madrid;Sustracciones de vehículos 
1-Mar-22;713;Madrid;Tráfico de drogas 
